[2026-05-06 16:57:56,829: INFO: main: Welcome to the custom log]
[2026-05-08 10:27:46,544: INFO: common: Yaml file loaded successfully]
[2026-05-08 10:27:46,557: INFO: common: Yaml file loaded successfully]
[2026-05-08 10:27:46,560: INFO: common: Created Directory:artifacts]
[2026-05-08 10:27:46,563: INFO: common: Created Directory:artifacts/data_ingestion]
[2026-05-08 10:33:17,407: INFO: common: Yaml file loaded successfully]
[2026-05-08 10:33:17,411: INFO: common: Yaml file loaded successfully]
[2026-05-08 10:33:17,413: INFO: common: Created Directory:artifacts]
[2026-05-08 10:33:17,414: INFO: common: Created Directory:artifacts/data_ingestion]
[2026-05-08 10:33:17,416: INFO: 3381671941: Downloading data from Google Drive]
[2026-05-08 10:41:40,076: INFO: common: Yaml file loaded successfully]
[2026-05-08 10:41:40,081: INFO: common: Yaml file loaded successfully]
[2026-05-08 10:41:40,084: INFO: common: Created Directory:artifacts]
[2026-05-08 10:41:40,089: INFO: common: Created Directory:artifacts/data_ingestion]
[2026-05-08 10:41:40,091: INFO: 3078088231: Downloading data from Google Drive]
[2026-05-08 10:41:40,092: ERROR: 3078088231: Download failed]
[2026-05-08 10:42:39,346: INFO: common: Yaml file loaded successfully]
[2026-05-08 10:42:39,348: INFO: common: Yaml file loaded successfully]
[2026-05-08 10:42:39,349: INFO: common: Created Directory:artifacts]
[2026-05-08 10:42:39,350: INFO: common: Created Directory:artifacts/data_ingestion]
[2026-05-08 10:42:39,352: INFO: 2856312467: Downloading data from Google Drive]
[2026-05-08 10:42:39,353: ERROR: 2856312467: Download failed]
[2026-05-08 10:45:14,054: INFO: common: Yaml file loaded successfully]
[2026-05-08 10:45:14,055: INFO: common: Yaml file loaded successfully]
[2026-05-08 10:45:14,056: INFO: common: Created Directory:artifacts]
[2026-05-08 10:45:14,056: INFO: common: Created Directory:artifacts/data_ingestion]
[2026-05-08 10:45:14,057: INFO: 3381671941: Downloading data from Google Drive]
[2026-05-08 10:55:27,641: INFO: common: Yaml file loaded successfully]
[2026-05-08 10:55:27,645: INFO: common: Yaml file loaded successfully]
[2026-05-08 10:55:27,650: INFO: common: Created Directory:artifacts]
[2026-05-08 10:55:27,653: INFO: common: Created Directory:artifacts/data_ingestion]
[2026-05-08 10:55:27,657: INFO: 3381671941: Downloading data from Google Drive]
[2026-05-08 10:55:45,140: INFO: 3381671941: Downloaded data from https://drive.google.com/file/d/190TPBZMV8J__LYKfNpdWAqMzdqRDY6HP/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-05-08 17:40:22,961: INFO: main: >>>>>> stage Data Ingestion stage started<<<<<<]
[2026-05-08 17:40:22,961: INFO: common: Yaml file loaded successfully]
[2026-05-08 17:40:22,961: INFO: common: Yaml file loaded successfully]
[2026-05-08 17:40:22,961: INFO: common: Created Directory:artifacts]
[2026-05-08 17:40:22,969: INFO: common: Created Directory:artifacts/data_ingestion]
[2026-05-08 17:40:22,969: INFO: data_ingestion: Downloading data from Google Drive]
[2026-05-08 17:40:42,346: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/190TPBZMV8J__LYKfNpdWAqMzdqRDY6HP/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-05-08 17:40:52,155: INFO: main: >>>>>> stage Data Ingestion stage completed]
